Unit;ADR13;ADR14;ADR15;ADR16;Ocurrences;Class DeF
org.apache.cassandra.db.marshal.BooleanType;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.BytesType;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.CompositeType;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.CompositeType$StaticParsedComparator;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.CounterColumnType;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.DateType;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.DecimalType;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.DoubleType;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.DynamicCompositeType;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.DynamicCompositeType$DynamicParsedComparator;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.FloatType;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.Int32Type;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.IntegerType;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.LexicalUUIDType;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.LocalByPartionerType;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.LongType;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.MarshalException;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.marshal.ReversedType;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.TimeUUIDType;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.marshal.TypeParser;1.0;1.0;1.0;0.0;3.0;0.75
org.apache.cassandra.db.marshal.UTF8Type$UTF8Validator;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.db.marshal.UUIDType;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.migration.AddColumnFamily;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.migration.AddKeyspace;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.migration.DropColumnFamily;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.migration.DropKeyspace;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.migration.Migration;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.db.migration.RenameColumnFamily;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.migration.RenameKeyspace;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.migration.UpdateColumnFamily;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.db.migration.UpdateKeyspace;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.dht.AbstractBounds;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.dht.AbstractBounds$AbstractBoundsSerializer;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.dht.AbstractByteOrderedPartitioner;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.dht.BigIntegerToken;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.dht.BootStrapper;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.dht.BootStrapper$BootstrapTokenCallback;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.dht.BootStrapper$BootstrapTokenVerbHandler;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.dht.Bounds;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.dht.ByteOrderedPartitioner;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.dht.BytesToken;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.dht.CollatingOrderPreservingPartitioner;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.dht.LocalPartitioner;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.dht.LocalToken;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.dht.OrderPreservingPartitioner;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.dht.RandomPartitioner;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.dht.StringToken;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.dht.Token$TokenSerializer;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.gms.ArrivalWindow;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.gms.EndpointState;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.gms.EndpointStateSerializer;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.gms.EndpointStatesSerializationHelper;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.gms.FailureDetector;1.0;0.0;1.0;0.0;2.0;0.5
org.apache.cassandra.gms.GossipDigest;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.gms.GossipDigestAck2Message;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.gms.GossipDigestAck2MessageSerializer;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.gms.GossipDigestAck2VerbHandler;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.gms.GossipDigestAckMessage;1.0;0.0;1.0;1.0;3.0;0.75
org.apache.cassandra.gms.GossipDigestAckMessageSerializer;1.0;1.0;1.0;1.0;4.0;1.0
org.apache.cassandra.gms.GossipDigestAckVerbHandler;1.0;1.0;1.0;1.0;4.0;1.0
